rotr;rotl;shift;rounds
03;10;10;509
03;10;12;2113
03;10;15;407
03;10;16;31
03;10;19;10709
03;10;22;31
03;10;23;55117
03;10;24;1735
03;10;25;8189
03;10;26;1245
03;10;29;5459
03;10;31;223
03;11;18;16001
03;11;21;126913
03;11;22;9361
03;11;26;131069
03;11;27;8175
03;11;28;681
03;11;29;114673
03;11;30;3065
03;12;08;6137
03;12;15;8183
03;12;18;15
03;12;19;1735
03;12;20;509
03;12;24;8183
03;12;25;32765
03;12;27;251
03;12;29;257
03;12;30;114673
03;12;31;239
03;13;16;31
03;14;08;26213
03;14;09;129793
03;14;10;129793
03;14;11;13577
03;14;12;28643
03;14;13;49145
03;14;15;129793
03;14;16;31
03;14;17;8189
03;14;18;32765
03;14;19;39369
03;14;20;31
03;14;24;32765
03;14;25;125
03;14;26;2113
03;14;27;49145
03;14;30;114673
03;14;31;503
03;15;08;8189
03;15;10;42965
03;15;11;129793
03;15;12;509
03;15;16;507
03;15;17;114673
03;15;18;509
03;15;21;65533
03;15;22;6131
03;15;26;43689
03;15;27;371
03;15;28;65533
03;15;30;85973
03;16;08;85973
03;16;11;119
03;16;13;8189
03;16;16;31
03;16;17;32765
03;16;19;509
03;16;22;3
03;16;24;126913
03;16;25;114673
03;16;26;119
03;16;28;119
03;16;29;114673
03;16;31;867
03;17;08;2789
03;17;11;867
03;17;12;129793
03;17;13;65533
03;17;15;867
03;17;17;1259
03;17;20;131069
03;17;21;3569
03;17;22;15329
03;17;23;507
03;17;24;119
03;17;27;119
03;17;28;3065
03;18;08;65533
03;18;11;867
03;18;12;3905
03;18;13;9197
03;18;14;126913
03;18;16;31
03;18;19;1301
03;18;21;131069
03;18;24;31
03;18;25;14321
03;18;29;64769
03;18;31;223
03;19;08;8737
03;19;10;3905
03;19;12;1301
03;19;13;126913
03;19;14;126913
03;19;15;3905
03;19;18;129793
03;19;21;3275
03;19;22;629
03;19;23;7709
03;19;24;39369
03;19;25;8189
03;19;30;909
03;20;08;10229
03;20;09;2183
03;20;12;31
03;20;17;15
03;20;18;32759
03;20;19;32765
03;20;20;5333
03;20;23;131069
03;20;25;2043
03;20;26;15
03;20;27;131069
03;20;31;239
03;21;09;16379
03;21;10;131069
03;21;11;119
03;21;12;1019
03;21;13;503
03;21;24;65533
03;22;10;31
03;22;12;131069
03;22;14;335
03;22;15;49145
03;22;19;679
03;22;20;8189
03;22;21;10921
03;22;22;15809
03;22;24;10709
03;22;25;22133
03;22;27;16379
03;22;28;251
03;22;31;503
03;23;08;49145
03;23;09;114673
03;23;10;43689
03;23;16;1019
